timestamp,open,high,low,close,volume
2026-09-03 17:15:00,77874.36,77913.76,77742.66,77742.67,60.78108
2026-09-03 17:30:00,77742.66,77779.89,77660.63,77724.36,95.68322
2026-09-03 17:45:00,77724.36,77783.57,77608.0,77615.24,99.45709
2026-09-03 18:00:00,77615.25,77680.8,77540.0,77562.89,125.48206
2026-09-03 18:15:00,77562.9,77708.0,77528.73,77630.96,73.51753
2026-09-03 18:30:00,77630.97,77650.59,77478.0,77508.66,113.02175
2026-09-03 18:45:00,77508.65,77773.26,77502.33,77735.88,94.37126
2026-09-03 19:00:00,77735.88,77822.89,77709.52,77822.89,79.69078
2026-09-03 19:15:00,77822.89,77959.03,77822.88,77927.21,97.50011
2026-09-03 19:30:00,77927.21,77982.0,77838.01,77929.91,119.82536
2026-09-03 19:45:00,77929.91,78004.94,77884.0,77948.39,99.75275
2026-09-03 20:00:00,77948.39,78100.0,77896.07,78085.0,139.64774
2026-09-03 20:15:00,78085.01,78142.01,77948.96,77970.09,92.56135
2026-09-03 20:30:00,77970.09,78446.54,77970.09,78308.0,358.78982
2026-09-03 20:45:00,78307.99,78782.75,78239.77,78652.38,388.94331
2026-09-03 21:00:00,78652.37,78712.0,78516.0,78548.6,219.56971
2026-09-03 21:15:00,78548.61,78600.0,78450.25,78494.83,131.69314
2026-09-03 21:30:00,78494.84,78926.0,78458.36,78896.01,397.7253
2026-09-03 21:45:00,78896.01,79000.0,78729.78,78840.52,303.75562
2026-09-03 22:00:00,78840.52,79000.0,78704.0,78990.0,268.65329
2026-09-03 22:15:00,78990.0,79678.77,78988.66,79664.01,699.59169
2026-09-03 22:30:00,79664.0,79875.0,79599.99,79764.72,552.13692
2026-09-03 22:45:00,79764.71,80561.0,79760.45,80549.97,993.1263
2026-09-03 23:00:00,80549.97,80966.63,80354.65,80557.84,1512.26035
2026-09-03 23:15:00,80557.83,80782.53,80465.54,80743.75,474.13173
2026-09-03 23:30:00,80743.76,81000.0,80690.0,80861.2,423.23456
2026-09-03 23:45:00,80861.2,81370.33,80731.18,81348.0,646.5587
2026-09-04 00:00:00,81348.0,81360.0,80782.69,80944.5,505.22632
2026-09-04 00:15:00,80944.5,80952.49,80613.52,80765.96,302.00656
2026-09-04 00:30:00,80765.96,80942.4,80765.61,80801.01,214.70723
2026-09-04 00:45:00,80801.01,81035.99,80777.03,80969.37,217.84564
2026-09-04 01:00:00,80969.37,81112.06,80886.0,81109.5,262.72341
2026-09-04 01:15:00,81109.5,81145.88,80932.0,80997.23,297.32804
2026-09-04 01:30:00,80997.24,81165.0,80997.23,81078.58,158.248
2026-09-04 01:45:00,81078.58,81188.17,81006.0,81042.0,157.19589
2026-09-04 02:00:00,81042.0,81333.33,81019.57,81259.55,223.8755
2026-09-04 02:15:00,81259.55,81281.07,80948.0,80948.0,125.73756
2026-09-04 02:30:00,80948.01,81046.0,80904.0,80979.49,127.20484
2026-09-04 02:45:00,80979.5,81263.63,80963.24,81254.32,118.80592
2026-09-04 03:00:00,81254.31,81640.0,81171.98,81199.99,352.5209
2026-09-04 03:15:00,81200.0,81606.96,81177.69,81546.71,164.74721
2026-09-04 03:30:00,81546.71,81613.57,81377.69,81540.0,185.04886
2026-09-04 03:45:00,81540.0,81790.0,81460.92,81755.41,400.64926
2026-09-04 04:00:00,81755.41,81780.0,81401.99,81412.3,191.53548
2026-09-04 04:15:00,81412.3,81595.95,81392.74,81535.58,121.31776
2026-09-04 04:30:00,81535.57,81632.0,81407.81,81470.01,99.69282
2026-09-04 04:45:00,81470.01,81576.02,81416.01,81473.0,188.98966
2026-09-04 05:00:00,81473.0,81620.67,81288.0,81598.01,186.23308
2026-09-04 05:15:00,81598.01,81777.75,81506.55,81762.0,176.13143
2026-09-04 05:30:00,81762.0,82300.0,81522.54,81522.54,770.55841
2026-09-04 05:45:00,81522.54,81748.0,81416.0,81590.0,159.64829
2026-09-04 06:00:00,81590.0,81604.65,81260.99,81378.35,184.95508
2026-09-04 06:15:00,81378.35,81399.39,81124.51,81131.82,158.78476
2026-09-04 06:30:00,81131.81,81239.6,80905.05,81194.93,249.77409
2026-09-04 06:45:00,81194.94,81272.0,81064.04,81140.0,119.05812
2026-09-04 07:00:00,81140.0,81213.01,81078.0,81172.02,114.45743
2026-09-04 07:15:00,81172.01,81282.0,81160.0,81281.99,109.13886
2026-09-04 07:30:00,81281.99,81338.0,81126.0,81234.0,99.69722
2026-09-04 07:45:00,81234.01,81328.76,81181.95,81270.37,84.69882
2026-09-04 08:00:00,81270.37,81270.38,81084.0,81244.0,140.48996
2026-09-04 08:15:00,81244.0,81349.1,81148.01,81148.01,134.5267
2026-09-04 08:30:00,81148.0,81427.75,81126.0,81224.0,181.4931
2026-09-04 08:45:00,81224.0,81240.0,80960.0,80972.12,186.69156
2026-09-04 09:00:00,80972.11,81097.92,80906.43,80944.19,135.74465
2026-09-04 09:15:00,80944.19,81022.0,80786.44,80827.07,155.73813
2026-09-04 09:30:00,80827.08,80931.4,80759.52,80785.0,136.3888
2026-09-04 09:45:00,80785.01,81031.63,80774.39,80968.01,77.69437
2026-09-04 10:00:00,80968.01,80968.01,80777.98,80799.5,97.91507
2026-09-04 10:15:00,80799.51,80871.16,80685.0,80716.65,164.38603
2026-09-04 10:30:00,80716.64,80846.25,80686.0,80744.01,86.01612
2026-09-04 10:45:00,80744.01,80831.99,80669.45,80831.99,85.45782
2026-09-04 11:00:00,80832.0,81021.8,80831.99,80931.78,157.79567
2026-09-04 11:15:00,80931.78,80947.99,80842.0,80842.01,131.58971
2026-09-04 11:30:00,80842.0,80887.18,80806.0,80873.69,119.14946
2026-09-04 11:45:00,80873.7,80969.84,80850.0,80850.0,115.2822
2026-09-04 12:00:00,80850.01,80973.99,80820.0,80973.99,100.21683
2026-09-04 12:15:00,80973.99,81288.0,80962.12,81267.64,187.86935
2026-09-04 12:30:00,81267.65,81275.58,81019.0,81039.29,194.44022
2026-09-04 12:45:00,81039.3,81142.0,81028.31,81070.54,119.93841
2026-09-04 13:00:00,81070.54,81079.69,80974.45,80980.01,141.90194
2026-09-04 13:15:00,80980.01,81143.3,80951.0,81024.32,162.59794
2026-09-04 13:30:00,81024.16,81024.16,80905.05,80985.99,147.37249
2026-09-04 13:45:00,80986.0,81060.0,80863.03,80996.15,141.86007
2026-09-04 14:00:00,80996.15,81090.0,80910.0,81018.28,102.15406
2026-09-04 14:15:00,81018.27,81036.0,80700.0,80725.38,106.36217
2026-09-04 14:30:00,80725.37,80856.36,80573.21,80847.84,139.34656
2026-09-04 14:45:00,80847.84,80859.05,80700.02,80797.39,87.75246
2026-09-04 15:00:00,80797.4,80966.75,80789.61,80938.02,130.82517
2026-09-04 15:15:00,80938.01,80964.76,80846.0,80862.05,84.53322
2026-09-04 15:30:00,80862.05,80905.06,80744.0,80769.91,228.11488
2026-09-04 15:45:00,80769.92,80785.36,80641.65,80656.87,262.36155
2026-09-04 16:00:00,80656.86,80773.97,80502.87,80773.96,169.61377
2026-09-04 16:15:00,80773.96,80997.36,80773.96,80982.57,95.72139
2026-09-04 16:30:00,80982.57,81154.4,80974.0,81048.29,246.75687
2026-09-04 16:45:00,81048.29,81237.0,81000.0,81147.16,241.95351
2026-09-04 17:00:00,81147.16,81230.0,81081.94,81091.16,171.59307
2026-09-04 17:15:00,81091.16,81310.0,80934.24,81037.65,287.61586
2026-09-04 17:30:00,81037.66,81224.76,80984.0,81169.09,190.19661
2026-09-04 17:45:00,81169.09,81223.97,81031.96,81056.63,319.46791
2026-09-04 18:00:00,81056.63,81124.0,80976.0,81118.38,37.36552
