timestamp,open,high,low,close,volume,symbol
2026-09-02 17:00:00,76854.11,77049.4,76484.64,76752.26,1036.05232,BTCUSDT
2026-09-02 18:00:00,76752.26,76753.83,76264.0,76680.88,924.89427,BTCUSDT
2026-09-02 19:00:00,76680.88,76848.73,76356.0,76828.76,641.75915,BTCUSDT
2026-09-02 20:00:00,76828.75,77049.4,76611.67,76613.88,581.91449,BTCUSDT
2026-09-02 21:00:00,76613.87,77443.61,76613.87,77146.0,812.83227,BTCUSDT
2026-09-02 22:00:00,77146.0,77490.0,77010.24,77066.42,555.40079,BTCUSDT
2026-09-02 23:00:00,77066.42,77386.0,76748.01,77288.98,824.93813,BTCUSDT
2026-09-03 00:00:00,77288.97,77582.0,77171.5,77171.5,1179.92404,BTCUSDT
2026-09-03 01:00:00,77171.51,77406.0,76950.56,77381.66,465.02159,BTCUSDT
2026-09-03 02:00:00,77381.65,77524.0,77296.52,77377.76,374.99513,BTCUSDT
2026-09-03 03:00:00,77377.76,77416.0,77124.0,77341.47,289.4138,BTCUSDT
2026-09-03 04:00:00,77341.48,77520.0,77207.47,77406.01,382.13526,BTCUSDT
2026-09-03 05:00:00,77406.0,77431.78,77242.0,77284.0,291.06451,BTCUSDT
2026-09-03 06:00:00,77284.01,77284.01,77023.11,77034.03,188.20028,BTCUSDT
2026-09-03 07:00:00,77034.03,77372.62,77007.36,77340.01,192.93523,BTCUSDT
2026-09-03 08:00:00,77340.01,77394.0,76980.01,77068.01,327.32527,BTCUSDT
2026-09-03 09:00:00,77068.0,77546.8,76968.0,77356.7,533.28645,BTCUSDT
2026-09-03 10:00:00,77356.69,77900.0,77238.89,77816.01,563.52004,BTCUSDT
2026-09-03 11:00:00,77816.02,77880.0,77642.09,77708.0,385.93335,BTCUSDT
2026-09-03 12:00:00,77708.01,77833.1,77547.16,77776.0,336.15526,BTCUSDT
2026-09-03 13:00:00,77775.99,77829.8,77101.01,77809.91,617.52986,BTCUSDT
2026-09-03 14:00:00,77809.91,77856.16,77698.75,77835.19,408.13131,BTCUSDT
2026-09-03 15:00:00,77835.2,78183.91,77600.0,77663.15,696.21966,BTCUSDT
2026-09-03 16:00:00,77663.14,78066.0,77663.14,77843.34,363.22912,BTCUSDT
2026-09-03 17:00:00,77843.34,77975.46,77608.0,77615.24,341.00857,BTCUSDT
2026-09-03 18:00:00,77615.25,77773.26,77478.0,77735.88,406.3926,BTCUSDT
2026-09-03 19:00:00,77735.88,78004.94,77709.52,77948.39,396.769,BTCUSDT
2026-09-03 20:00:00,77948.39,78782.75,77896.07,78652.38,979.94222,BTCUSDT
2026-09-03 21:00:00,78652.37,79000.0,78450.25,78840.52,1052.74377,BTCUSDT
2026-09-03 22:00:00,78840.52,80561.0,78704.0,80549.97,2513.5082,BTCUSDT
2026-09-03 23:00:00,80549.97,81370.33,80354.65,81348.0,3056.18534,BTCUSDT
2026-09-04 00:00:00,81348.0,81360.0,80613.52,80969.37,1239.78575,BTCUSDT
2026-09-04 01:00:00,80969.37,81188.17,80886.0,81042.0,875.49534,BTCUSDT
2026-09-04 02:00:00,81042.0,81333.33,80904.0,81254.32,595.62382,BTCUSDT
2026-09-04 03:00:00,81254.31,81790.0,81171.98,81755.41,1102.96623,BTCUSDT
2026-09-04 04:00:00,81755.41,81780.0,81392.74,81473.0,601.53572,BTCUSDT
2026-09-04 05:00:00,81473.0,82300.0,81288.0,81590.0,1292.57121,BTCUSDT
2026-09-04 06:00:00,81590.0,81604.65,80905.05,81140.0,712.57205,BTCUSDT
