timestamp,open,high,low,close,volume
2026-08-31 15:00:00,686.65,688.18,685.99,686.81,5828.39
2026-08-31 16:00:00,686.82,688.25,684.93,687.69,5076.706
2026-08-31 17:00:00,687.69,689.74,686.29,686.43,6128.73
2026-08-31 18:00:00,686.43,689.71,685.49,689.19,4313.9
2026-08-31 19:00:00,689.2,689.2,686.85,687.21,3203.732
2026-08-31 20:00:00,687.22,689.27,684.44,686.3,4196.233
2026-08-31 21:00:00,686.31,687.74,685.23,685.54,3940.276
2026-08-31 22:00:00,685.55,691.51,685.0,690.84,4872.675
2026-08-31 23:00:00,690.85,691.5,688.0,689.67,3798.005
2026-09-01 00:00:00,689.67,690.76,688.05,689.19,2931.538
2026-09-01 01:00:00,689.2,693.21,688.75,692.87,3803.332
2026-09-01 02:00:00,692.88,694.54,692.0,692.86,2882.769
2026-09-01 03:00:00,692.86,694.73,691.44,691.65,3347.592
2026-09-01 04:00:00,691.65,693.11,690.09,691.33,1833.784
2026-09-01 05:00:00,691.33,692.94,690.37,692.65,1661.155
2026-09-01 06:00:00,692.65,693.06,690.66,691.05,933.935
2026-09-01 07:00:00,691.05,691.44,690.01,691.44,1473.94
2026-09-01 08:00:00,691.44,694.2,691.22,693.28,3381.14
2026-09-01 09:00:00,693.29,694.1,690.67,691.6,2243.061
2026-09-01 10:00:00,691.61,692.48,690.16,692.4,2047.94
2026-09-01 11:00:00,692.4,694.83,692.19,693.46,4253.44
2026-09-01 12:00:00,693.46,694.2,692.03,692.32,2614.248
2026-09-01 13:00:00,692.31,694.38,691.38,693.95,3939.01
2026-09-01 14:00:00,693.95,693.95,690.14,690.45,4421.968
2026-09-01 15:00:00,690.45,690.78,688.9,690.47,5380.882
2026-09-01 16:00:00,690.47,690.75,685.95,686.33,4877.122
2026-09-01 17:00:00,686.34,686.82,685.43,686.02,5139.475
2026-09-01 18:00:00,686.02,688.5,685.6,686.61,3396.897
2026-09-01 19:00:00,686.62,688.15,685.85,687.35,3203.796
2026-09-01 20:00:00,687.36,687.51,684.74,686.7,2654.295
2026-09-01 21:00:00,686.7,687.44,683.52,687.19,5112.296
2026-09-01 22:00:00,687.19,688.81,686.9,687.31,3227.233
2026-09-01 23:00:00,687.31,687.6,685.01,686.88,3071.317
2026-09-02 00:00:00,686.87,687.0,682.74,684.01,3753.314
2026-09-02 01:00:00,684.01,686.08,682.82,682.95,3366.094
2026-09-02 02:00:00,682.95,683.35,674.6,679.48,11216.793
2026-09-02 03:00:00,679.49,681.57,679.25,679.89,2141.409
2026-09-02 04:00:00,679.89,681.27,679.25,681.02,2910.673
2026-09-02 05:00:00,681.02,681.55,677.54,680.64,2683.624
2026-09-02 06:00:00,680.64,681.4,679.26,680.99,1700.795
2026-09-02 07:00:00,680.99,683.99,680.5,683.0,2926.276
2026-09-02 08:00:00,683.0,687.48,682.38,683.97,10490.948
2026-09-02 09:00:00,683.97,685.16,679.74,682.71,6766.082
2026-09-02 10:00:00,682.71,685.83,681.56,685.5,3644.424
2026-09-02 11:00:00,685.5,689.71,685.35,687.62,5037.153
2026-09-02 12:00:00,687.62,687.83,685.97,687.83,3573.256
2026-09-02 13:00:00,687.83,689.72,686.41,689.1,4667.935
2026-09-02 14:00:00,689.1,689.5,686.91,688.26,5248.712
2026-09-02 15:00:00,688.26,689.24,687.63,687.71,2038.955
2026-09-02 16:00:00,687.71,688.1,682.61,683.57,3217.475
2026-09-02 17:00:00,683.57,686.75,681.75,683.54,5892.33
2026-09-02 18:00:00,683.54,684.0,680.41,683.01,4360.596
2026-09-02 19:00:00,683.01,684.21,680.96,683.84,5242.005
2026-09-02 20:00:00,683.84,685.71,682.86,683.16,2740.628
2026-09-02 21:00:00,683.17,689.52,683.16,687.47,6201.473
2026-09-02 22:00:00,687.47,689.21,686.04,686.06,5283.196
2026-09-02 23:00:00,686.07,688.0,683.8,687.61,4815.878
2026-09-03 00:00:00,687.62,689.0,686.1,686.1,5860.407
2026-09-03 01:00:00,686.11,687.94,684.65,687.73,3832.142
2026-09-03 02:00:00,687.73,687.98,686.0,687.14,2461.305
2026-09-03 03:00:00,687.15,687.95,685.45,686.61,2330.18
2026-09-03 04:00:00,686.61,688.0,686.3,687.52,2525.959
2026-09-03 05:00:00,687.52,688.54,687.1,687.12,2360.644
2026-09-03 06:00:00,687.12,687.32,685.45,686.18,1137.324
2026-09-03 07:00:00,686.19,688.99,685.73,688.84,1591.352
2026-09-03 08:00:00,688.82,689.92,686.67,687.3,2329.889
2026-09-03 09:00:00,687.29,692.07,686.24,690.1,4854.102
2026-09-03 10:00:00,690.09,695.0,689.8,694.26,3474.65
2026-09-03 11:00:00,694.26,694.33,691.75,692.6,2983.035
2026-09-03 12:00:00,692.6,694.73,691.94,694.73,3028.57
2026-09-03 13:00:00,694.73,695.48,689.77,695.37,3555.401
2026-09-03 14:00:00,695.37,698.71,694.8,697.75,4903.764
2026-09-03 15:00:00,697.75,699.45,696.9,697.96,5962.675
2026-09-03 16:00:00,697.96,703.25,697.95,701.26,8307.209
2026-09-03 17:00:00,701.27,703.06,700.43,700.79,4182.107
2026-09-03 18:00:00,700.78,705.99,700.51,705.27,8888.125
2026-09-03 19:00:00,705.28,715.57,704.86,711.43,20214.87
2026-09-03 20:00:00,711.43,715.14,710.51,713.73,8670.726
2026-09-03 21:00:00,713.72,714.72,708.66,711.66,10230.608
2026-09-03 22:00:00,711.66,722.65,711.0,722.26,17356.763
2026-09-03 23:00:00,722.26,728.0,718.34,727.56,17038.999
2026-09-04 00:00:00,727.62,727.98,718.82,722.02,12117.25
2026-09-04 01:00:00,722.03,722.79,719.67,721.9,6565.29
2026-09-04 02:00:00,721.9,723.11,719.97,722.31,3713.564
2026-09-04 03:00:00,722.3,725.0,721.3,724.59,3834.903
2026-09-04 04:00:00,724.6,724.93,722.43,724.16,3346.226
2026-09-04 05:00:00,724.17,727.58,723.32,724.97,3814.336
2026-09-04 06:00:00,724.97,725.52,720.58,723.65,4380.649
2026-09-04 07:00:00,723.65,725.43,723.31,725.22,2876.872
2026-09-04 08:00:00,725.22,729.9,721.54,721.66,9514.094
2026-09-04 09:00:00,721.66,723.78,718.22,722.3,9581.863
2026-09-04 10:00:00,722.3,724.32,720.27,724.2,3895.914
2026-09-04 11:00:00,724.21,725.19,723.51,723.54,3976.507
2026-09-04 12:00:00,723.54,729.36,723.53,726.01,6626.896
2026-09-04 13:00:00,726.02,726.62,723.13,724.83,4889.54
2026-09-04 14:00:00,724.83,725.39,719.81,720.35,4746.048
2026-09-04 15:00:00,720.35,722.45,714.11,714.5,10624.686
2026-09-04 16:00:00,714.51,719.49,713.75,719.08,7565.082
2026-09-04 17:00:00,719.08,720.78,717.3,718.8,5149.15
