timestamp,open,high,low,close,volume
2026-05-28 08:00:00,74449.31,74590.77,72582.82,73617.51,21274.02026
2026-05-29 08:00:00,73617.52,74514.1,72512.49,73460.78,18686.74141
2026-05-30 08:00:00,73460.78,74143.76,73216.0,73884.38,7515.40909
2026-05-31 08:00:00,73884.38,74275.66,73400.0,73674.39,6986.45707
2026-06-01 08:00:00,73674.39,74092.0,70686.68,71408.9,23921.09184
2026-06-02 08:00:00,71408.9,71408.9,66193.0,66760.83,32858.19586
2026-06-03 08:00:00,66760.84,67516.0,64092.49,64142.75,30138.3065
2026-06-04 08:00:00,64142.75,64764.32,61383.56,63885.99,43577.17571
2026-06-05 08:00:00,63885.99,63978.0,59130.91,61056.47,55027.28807
2026-06-06 08:00:00,61056.47,61530.05,59500.0,60884.62,19795.58877
2026-06-07 08:00:00,60884.62,64234.68,60746.0,63332.01,26612.10443
2026-06-08 08:00:00,63332.01,64200.0,62408.0,63085.99,23053.38624
2026-06-09 08:00:00,63086.0,63526.01,60780.0,61730.0,21636.21959
2026-06-10 08:00:00,61730.0,62857.99,60755.0,61510.99,15998.71652
2026-06-11 08:00:00,61510.99,63933.02,61510.99,63625.99,17380.94642
2026-06-12 08:00:00,63626.0,64394.44,62829.81,63580.01,16397.0524
2026-06-13 08:00:00,63580.0,64762.77,63418.66,64458.01,9960.74163
2026-06-14 08:00:00,64458.01,65800.0,63678.83,65746.45,13203.03375
2026-06-15 08:00:00,65746.45,67292.15,65354.0,66328.74,18559.80102
2026-06-16 08:00:00,66328.74,66992.0,65360.92,65675.01,14302.05801
2026-06-17 08:00:00,65675.02,66445.93,63915.77,64509.4,19048.65409
2026-06-18 08:00:00,64509.4,64806.0,62272.07,62958.01,16935.59661
2026-06-19 08:00:00,62958.01,63666.0,62316.44,63543.91,14247.424
2026-06-20 08:00:00,63543.9,64388.0,63184.21,64298.01,9522.10324
2026-06-21 08:00:00,64298.01,64588.0,63270.0,63311.99,8034.66333
2026-06-22 08:00:00,63312.0,65622.83,63312.0,64020.01,15423.10851
2026-06-23 08:00:00,64020.01,64275.38,61938.0,62734.57,20222.99292
2026-06-24 08:00:00,62734.57,63239.06,59102.7,61077.99,30678.28543
2026-06-25 08:00:00,61078.0,61962.4,58115.01,59794.0,30386.00694
2026-06-26 08:00:00,59794.64,60759.99,58337.0,60097.27,27403.55723
